dept,division,code,name,prof,time,category,credit,l_time,note00,note01,note02,note03,note04,count,avg_score_overall,avg_score_difficulty,avg_score_grade,avg_score_study,avg_score_achievement,avg_score_attendance
전공기반,전공,EDU2002,교육심리학,도승이,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU2005,한국교육사,정덕희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU2011,학습지도,주정흔,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU2022,교육통계,조정우,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COS3018,한국윤리사상,이천승,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3003,동양교육사,정덕희,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3023,교육우수성의의미탐색,한신일,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU2014,교육현장의이해,양정호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU2025,컴퓨터테크놀러지의수업적용,조문흠,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU3031,감성지능과인포메틱스,이동훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,EDU3036,교육정책과정치,배상훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,COE3005,사도의함양,배상훈,,,1,0,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3007,비교교육론,고장완,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3016,교육사회학,양정호,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3032,빅데이터분석과미래예측,배상훈,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,EDU3033,교육인포메틱스,고장완,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CII2001,컴퓨팅사고,정윤경,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CII2002,디자인사고,박일권,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CII2003,인포매틱스기초,김진평,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CII2005,프로그래밍실습,김진홍,,,3,3,,1,,,,0,0,0,0,0,0,0
전공심화,전공,CII3003,모바일프로그래밍,김진홍,,,3,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CHI2001,초급중회화1,유수경,,,2,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CHI2001,초급중회화1,이정심,,,2,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,CHI2001,초급중회화1,장수연,,,2,3,,1,,,,0,0,0,0,0,0,0
전공기반,전공,HAN2003,서예지도법1,손창락,,,3,3,,1,,,,0,0,0,0,0,0,0
